run_id,domain,model,harness,homepage_reached,docs_reached,sitemap_reached,web_search_used,llms_txt_reached,well_known_reached,openapi_reached,agents_md_reached,homepage_first_turn,next_hop_docs,homepage_visits,docs_pages_fetched,web_fetch_calls,format_set_calls,markdown_calls,llms_txt_fetches,llms_txt_linked,well_known_fetches,well_known_linked,openapi_fetches,openapi_linked,agents_md_fetches,agents_md_linked,llms_followed_listing,answer_code_matched_fetch,answer_grounded,answer_ground_kind,site_ships_llms_txt,site_ships_openapi,site_ships_agents_md
577bf434-4e76-4455-9f64-8c1fadda2626,telnyx.com,claude-haiku-4-5,claude-agent-sdk,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,5,5,1,1,0,0,1,,1,llms_txt,1,1,1
fb2e3c68-aa35-4538-92e9-328849d607cf,attio.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,1,1,0,0,1,1,2,3,0,0,0,2,2,3,3,0,0,0,0,0,,0,,1,1,1
c1894dc4-57ad-404d-8a29-ec07268a21ac,telnyx.com,claude-sonnet-4-6,claude-agent-sdk,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,3,3,0,0,0,0,1,1,1,site_page,1,1,1
9a5ae594-c517-46b3-b7be-445ebf79de9c,telnyx.com,gpt-5.4,eve,1,1,0,1,1,1,0,0,1,0,4,9,13,13,12,1,1,5,0,0,0,0,0,0,1,1,docs_page,1,1,1
3c393e1f-2611-4916-8499-e74f7f70a792,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,1,0,0,1,1,2,8,12,0,0,1,1,1,1,0,0,0,0,1,1,1,docs_page,1,1,1
010203ac-2dc7-44d8-b0d5-b1241941f789,stripe.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,,,1,homepage,1,0,1
91e742a5-2bf1-4820-acb3-9b6c764240c5,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,1,1,1,1,1,1,6,0,0,0,0,1,1,1,1,1,1,,,1,agents_md,1,1,1
68f023b8-8d33-44c9-b7fd-f8bc6eafd2ac,attio.com,claude-fable-5,eve,1,1,0,0,1,1,0,0,1,0,2,4,1,0,0,1,0,1,0,0,0,0,0,1,,1,homepage,1,1,1
3c9484b9-3bee-4a5f-8998-79121c1e09c4,attio.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,0,2,4,8,0,0,0,0,0,0,0,0,0,0,,,1,site_page,1,1,1
a17fdac1-b864-4c4d-8d93-9d120d60f7ed,telnyx.com,claude-fable-5,eve,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,1,3,3,0,0,0,0,0,,1,llms_txt,1,1,1
4bf71208-6ab3-4a28-87bb-df851010113b,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,8,10,10,10,0,0,0,0,0,0,0,0,,1,1,homepage,1,0,1
60af84f4-9a5e-40ad-97a4-9564b0e9d9a7,ora.ai,claude-fable-5,eve,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,2,2,1,1,1,1,0,0,0,,1,llms_txt,1,1,1
11bce04a-f46d-402d-af84-75b431624504,stripe.com,claude-fable-5,eve,1,1,0,0,0,1,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,,,1,homepage,1,0,1
c06eb861-ca15-45b9-a44c-72b8a3d3c13b,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,1,4,4,4,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
a4054578-c6c8-4ec5-a7ba-418468ea49ac,stripe.com,claude-fable-5,eve,0,1,0,0,0,0,0,0,,,0,7,7,0,0,0,0,0,0,0,0,0,0,,,1,docs_page,1,0,1
cfacf7c4-141b-4a04-998d-ed14d62486d5,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,0,1,1,0,1,1,2,5,12,12,12,0,0,3,3,1,1,0,0,,,1,homepage,1,1,1
98c90591-394a-4cf7-a767-efc40120f671,stripe.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,1,1,4,5,0,0,0,0,0,0,0,0,0,0,,,1,homepage,1,0,1
eef0f47f-7778-4ccb-81ba-8561457c8a80,attio.com,claude-fable-5,eve,1,1,0,0,1,0,0,0,1,1,1,3,5,0,0,1,1,0,0,0,0,0,0,0,,1,llms_txt,1,1,1
e236322e-99ea-48e5-b7fe-7732dceb5611,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,0,1,1,1,1,1,4,8,8,8,0,0,0,0,1,1,1,1,,0,1,agents_md,1,1,1
110c8301-024f-4de8-9daa-94e579f2161c,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,2,3,3,3,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
c29986d2-f8cf-4224-b7a0-5b6bc4bcefcf,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,4,8,8,8,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
71e8bb5e-8d53-4f41-8d20-e0b1df6feb79,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,,0,1,docs_page,1,1,1
f5f8cf3f-ef33-4310-842b-d095b19afab1,attio.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,1,1,6,7,0,0,0,0,0,0,0,0,0,0,,,1,homepage,1,1,1
586ae504-f308-4285-9521-6b0045bbc7d4,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,6,9,9,9,0,0,0,0,0,0,0,0,,,1,docs_page,1,0,1
eac2edb8-6f52-43a5-b2dd-15dfccf8e6b1,telnyx.com,claude-fable-5,eve,1,1,0,0,1,1,0,0,1,0,2,1,1,0,0,1,1,3,3,0,0,0,0,0,,1,llms_txt,1,1,1
ba11a527-51b8-4fd0-bc29-1f84e7f432b0,telnyx.com,claude-fable-5,eve,1,1,0,0,0,1,0,0,1,0,2,1,3,0,0,0,0,2,2,0,0,0,0,,,1,docs_page,1,1,1
7a40bd59-9005-411e-9f02-0be5eb56c022,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,6,8,8,8,0,0,0,0,0,0,0,0,,,1,docs_page,1,0,1
5b5f7d9f-92be-4442-8a2a-00cc328feae1,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,4,6,6,6,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
fb73730b-34ba-4e5a-bd26-d49dc2942820,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,2,4,4,4,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
09e344a6-60a4-448b-b136-18a12c29cac1,ora.ai,claude-fable-5,eve,1,1,0,0,1,1,1,0,1,1,1,1,2,0,0,1,0,1,1,1,1,0,0,0,0,1,llms_txt,1,1,1
f367a9f0-84a0-4225-b422-f915fa6081ce,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,1,1,1,1,1,1,5,5,3,0,0,1,1,1,1,1,1,,,1,docs_page,1,1,1
c089b6fe-315f-4583-9b94-b82b4dd681cd,ora.ai,claude-fable-5,eve,1,1,0,0,1,1,1,0,1,0,2,1,2,0,0,1,1,1,1,1,1,0,0,0,0,1,llms_txt,1,1,1
